id,mz,rt,rtmin,rtmax,n_glc,mean_inten
2256,160.0616,7.45,7.08,7.85,4800000,4800000
2448,160.0616,8.02,7.85,8.41,2100000,2100000
3657,160.0616,10.44,10.27,10.61,1900000,1900000
60,160.8421,1.42,1.01,1.47,2000000,2000000
3156,160.8421,9.37,9.21,9.73,25000000,25000000
3263,160.8436,9.59,9.21,9.73,1400000,1400000
2647,160.9762,8.39,8.16,8.53,450000,450000
4111,161.0064,11.47,11.36,11.64,490000,490000
4739,161.0092,12.99,12.87,13.19,210000,210000
3750,161.0456,10.58,10.27,11.24,25000000,25000000
2464,161.0649,8.07,7.96,8.16,150000,150000
2257,161.065,7.45,7.34,7.56,270000,270000
4947,161.0933,13.85,13.65,13.99,130000,130000
1755,162.0197,5.45,5.33,5.65,68000,68000
3157,162.0408,9.37,8.81,9.67,2500000,2500000
3734,162.0409,10.56,10.44,10.73,790000,790000
3099,162.0489,9.18,8.73,10.33,6300000,6300000
3751,162.049,10.58,10.33,10.81,1500000,1500000
3158,162.8391,9.37,9.21,9.73,26000000,26000000
1846,162.9399,6.19,6.02,6.51,96000,96000
397,162.9824,1.7,1.64,2.3,600000,600000
4112,163.0249,11.47,11.27,11.79,490000,490000
3265,163.8396,9.59,9.32,9.7,530000,530000
2019,164.0166,6.77,6.51,7.08,490000,490000
3137,164.0387,9.34,9.18,9.47,2300000,2300000
2023,164.1279,6.77,6.54,7.08,680000,680000
62,164.8362,1.42,1.01,1.47,730000,730000
3285,164.8362,9.62,9.21,9.73,8000000,8000000
701,164.8911,2.3,1.99,2.44,77000,77000
3429,165.0405,9.9,9.76,10.19,7900000,7900000
74,165.0409,1.47,1.42,1.87,1100000,1100000
1133,165.0558,2.9,2.84,3.44,360000,360000
2024,165.0687,6.77,6.51,7.11,820000,820000
1124,165.0782,2.87,2.76,3.3,8200000,8200000
3952,166.0147,11.1,10.95,11.3,930000,930000
2026,166.0179,6.77,6.42,7.02,6800000,6800000
3138,166.0389,9.34,9.21,9.62,5300000,5300000
3286,166.0438,9.62,9.37,9.7,850000,850000
1165,166.051,2.95,2.84,3.47,870000,870000
1125,166.0816,2.87,2.81,3.33,550000,550000
4532,166.9752,12.41,12.24,12.59,2000000,2000000
4082,166.9963,11.36,11.24,11.44,290000,290000
2007,167.0212,6.74,6.51,6.85,290000,290000
3796,167.9974,10.7,10.64,10.87,590000,590000
2043,168.0137,6.8,6.48,6.91,310000,310000
3639,168.0279,10.38,10.24,10.5,790000,790000
3778,168.0279,10.64,10.56,10.76,110000,110000
3447,168.0432,9.96,9.87,10.13,2200000,2200000
3586,168.0432,10.27,10.13,11.01,40000000,40000000
3031,168.0779,9.13,8.93,9.18,1700000,1700000
1901,168.8871,6.28,6.02,6.48,650000,650000
4424,168.9814,12.19,12.01,12.59,7800000,7800000
3862,168.9908,10.93,10.78,11.3,2900000,2900000
1739,169.0119,5.33,5.07,6.51,280000,280000
3587,169.0465,10.27,10.19,10.47,1800000,1800000
1166,169.0637,2.95,2.87,3.27,160000,160000
1144,169.07,2.93,2.84,3.47,3700000,3700000
2943,169.0983,8.9,8.81,9.04,260000,260000
3767,170.046,10.61,10.53,10.76,430000,430000
1167,170.0709,2.95,2.87,3.36,310000,310000
1887,170.8841,6.25,6.05,6.48,270000,270000
4425,170.9771,12.19,12.04,12.27,330000,330000
1915,170.9847,6.34,5.62,6.54,390000,390000
3802,171.0065,10.73,10.58,11.38,8700000,8700000
2990,171.015,9.01,8.76,9.15,550000,550000
2248,171.0276,7.36,7.05,7.7,2100000,2100000
5069,171.0276,14.3,14.11,14.42,700000,700000
440,171.1391,1.76,1.64,2.04,520000,520000
4444,171.9107,12.24,12.19,12.41,650000,650000
3803,172.0099,10.73,10.64,10.84,220000,220000
1430,172.0405,3.61,3.47,4.24,360000,360000
910,172.9914,2.64,1.93,3.13,2500000,2500000
2649,172.9943,8.39,7.59,8.93,4300000,4300000
4078,173.0093,11.33,11.21,11.41,360000,360000
4551,173.0093,12.47,12.21,12.9,19000000,19000000
1322,173.0456,3.36,3.21,3.84,2700000,2700000
2076,173.0456,6.85,6.68,7.59,2300000,2300000
2962,173.0568,8.93,8.73,9.18,13000000,13000000
2991,173.0932,9.01,8.87,9.18,8100000,8100000
5079,173.1045,14.33,14.08,15.62,7000000,7000000
3834,173.9806,10.84,10.73,10.95,640000,640000
4552,174.0126,12.47,12.36,12.7,1200000,1200000
1333,174.0595,3.41,3.18,3.7,230000,230000
2008,174.0772,6.74,6.31,7.85,7000000,7000000
2541,174.0772,8.19,8.1,8.27,260000,260000
3511,174.0884,10.1,10.01,10.33,1800000,1800000
2992,174.0966,9.01,8.93,9.13,630000,630000
3837,174.1024,10.84,10.7,10.95,720000,720000
5070,174.1078,14.3,14.16,14.36,680000,680000
4466,174.9376,12.27,12.16,12.5,1000000,1000000
2620,174.9562,8.36,7.62,8.73,3500000,3500000
702,174.9873,2.3,1.99,2.44,64000,64000
2651,174.9918,8.39,8.13,8.59,600000,600000
4585,175.0135,12.5,12.39,12.61,250000,250000
4714,175.0249,12.84,12.7,13.02,480000,480000
3804,175.025,10.73,10.64,10.84,760000,760000
4012,175.025,11.18,11.07,11.41,570000,570000
3838,175.038,10.84,10.7,10.98,970000,970000
3839,175.0442,10.84,10.7,11.18,19000000,19000000
2993,175.0725,9.01,8.93,9.15,500000,500000
2027,175.0805,6.77,6.42,6.85,600000,600000
2710,176.0024,8.53,8.41,8.64,500000,500000
4220,176.0395,11.76,11.64,11.9,360000,360000
3840,176.0451,10.84,10.7,10.98,2800000,2800000
3336,176.0565,9.73,9.65,10.07,610000,610000
1960,176.0928,6.65,6.42,6.88,570000,570000
4467,176.9171,12.27,12.19,12.44,1500000,1500000
3207,176.9811,9.47,9.45,9.73,470000,470000
1602,177.0228,4.47,4.19,5.3,680000,680000
1459,178.0511,3.67,3.53,4.44,6700000,6700000
2839,178.0722,8.7,8.5,8.81,640000,640000
4468,178.9129,12.27,12.19,12.39,120000,120000
4528,178.9508,12.39,12.16,12.41,180000,180000
3069,178.9934,9.15,8.76,9.24,690000,690000
3659,179.0562,10.44,10.27,10.95,94000000,94000000
1380,179.0827,3.53,3.38,3.67,120000,120000
3072,179.1202,9.15,8.76,9.27,790000,790000
4446,179.8827,12.24,12.19,12.44,210000,210000
2869,180.0338,8.76,8.56,8.98,2000000,2000000
2087,180.0415,6.88,6.8,6.99,360000,360000
3660,180.0596,10.44,10.24,10.9,5600000,5600000
2756,180.0667,8.61,8.44,9.18,66000000,66000000
3689,180.0667,10.47,9.87,10.87,280000,280000
5098,181.0096,14.39,14.05,15.36,13000000,13000000
3375,181.0386,9.82,9.65,10.1,6400000,6400000
2088,181.0507,6.88,6.71,7.73,1500000,1500000
3690,181.0605,10.47,10.33,10.78,1200000,1200000
1939,181.0718,6.54,6.31,6.99,3500000,3500000
2814,181.0718,8.67,8.5,9.37,110000000,110000000
2815,181.0765,8.67,8.56,8.76,320000,320000
2788,181.1369,8.64,8.56,8.79,290000,290000
1603,181.9952,4.47,4.3,4.7,120000,120000
1264,182.0258,3.18,3.1,3.44,83000,83000
3362,182.0419,9.79,9.7,9.96,450000,450000
2479,182.0435,8.1,7.99,8.27,130000,130000
1023,182.0459,2.73,2.41,2.78,3200000,3200000
1217,182.0459,3.04,2.84,3.3,160000,160000
841,182.0473,2.53,2.39,2.58,120000,120000
2789,182.0711,8.64,8.53,8.76,450000,450000
1944,182.0751,6.57,6.28,6.77,250000,250000
2816,182.0752,8.67,8.5,9.1,6500000,6500000
1251,182.0823,3.13,3.04,3.24,100000,100000
3342,183.0357,9.76,9.65,10.04,1900000,1900000
1094,183.0663,2.81,2.76,3.81,2500000,2500000
2790,183.0761,8.64,8.53,8.98,1200000,1200000
4092,184.0018,11.44,11.33,12.16,1500000,1500000
651,184.0103,1.99,1.93,2.13,330000,330000
3649,184.0382,10.41,10.36,10.56,290000,290000
2499,184.0592,8.13,7.96,8.3,650000,650000
4392,184.9858,12.04,11.81,12.3,3200000,3200000
1805,185.0223,5.91,5.62,6.02,120000,120000
1902,185.8657,6.28,6.02,6.51,190000,190000
4404,185.9892,12.07,11.96,12.16,99000,99000
2237,186.0457,7.34,7.05,7.53,10000000,10000000
3014,186.0885,9.07,8.9,9.13,320000,320000
1570,186.15,4.22,4.19,4.47,68000,68000
1863,186.8977,6.22,6.05,6.48,290000,290000
490,187.0072,1.87,1.82,2.44,6400000,6400000
3930,187.025,11.07,11.01,11.3,200000,200000
4432,187.025,12.21,12.16,12.33,310000,310000
2238,187.042,7.34,7.05,7.53,37000000,37000000
2239,187.049,7.34,7.14,7.59,760000,760000
2723,187.0725,8.56,8.44,8.81,1200000,1200000
3483,187.0725,10.04,9.87,10.13,860000,860000
1917,187.8611,6.34,5.7,6.57,3300000,3300000
491,188.0105,1.87,1.82,2.39,470000,470000
2240,188.0454,7.34,7.08,7.53,2100000,2100000
3779,188.0566,10.64,10.47,10.84,38000000,38000000
1918,188.8615,6.34,6.19,6.51,84000,84000
1834,188.8947,6.16,6.05,6.4,79000,79000
2652,188.9719,8.39,7.59,8.98,4200000,4200000
974,188.9864,2.7,2.5,3.36,3600000,3600000
492,189.0029,1.87,1.82,2.36,300000,300000
2724,189.0406,8.56,8.39,9.04,6300000,6300000
3707,189.0406,10.5,10.38,10.78,470000,470000
4050,189.0519,11.24,11.1,11.38,3200000,3200000
3780,189.0599,10.64,10.53,10.76,2900000,2900000
2266,189.077,7.5,7.42,7.62,280000,280000
1919,189.8581,6.34,5.82,6.57,2000000,2000000
3968,190.0181,11.13,10.76,11.53,28000000,28000000
4319,190.0358,11.9,11.81,12.04,390000,390000
4063,190.0359,11.27,11.21,11.38,140000,140000
3223,190.039,9.5,9.45,9.73,1500000,1500000
2757,190.0439,8.61,8.44,8.76,480000,480000
2170,190.0511,7.16,6.99,7.25,590000,590000
1449,190.0545,3.64,3.36,4.39,7400000,7400000
2184,190.0722,7.22,6.97,7.42,970000,970000
2267,190.0722,7.5,7.47,7.79,150000,150000
2621,190.9286,8.36,8.24,8.53,470000,470000
4625,190.9505,12.61,12.53,13.13,270000,270000
4612,191.0084,12.59,12.56,12.79,110000,110000
3969,191.0215,11.13,10.87,11.36,1700000,1700000
3708,191.0562,10.5,9.76,10.78,1300000,1300000
4629,191.0907,12.61,12.53,13.16,300000,300000
1909,191.8552,6.31,5.99,6.54,320000,320000
3970,192.014,11.13,10.87,11.33,1200000,1200000
3880,192.0181,10.95,10.81,11.3,6200000,6200000
4774,192.0262,13.1,12.9,13.5,81000,81000
1759,192.0337,5.47,5.1,6.14,290000,290000
2917,192.0337,8.84,8.44,9.15,2000000,2000000
1451,192.0503,3.64,3.5,4.07,290000,290000
1302,192.0668,3.3,2.93,3.93,1600000,1600000
3287,192.9587,9.62,9.53,9.76,330000,330000
2336,192.9982,7.7,7.56,7.9,360000,360000
2414,193.0135,7.87,7.76,8.07,430000,430000
4747,193.0265,13.05,12.81,13.13,84000,84000
3907,194.013,11.01,10.87,11.21,3800000,3800000
3768,194.046,10.61,10.53,10.76,420000,420000
3322,194.0493,9.7,9.62,9.87,820000,820000
2500,194.1035,8.13,8.04,8.27,1300000,1300000
4931,194.906,13.73,13.3,14.11,860000,860000
4469,194.9237,12.27,12.19,12.41,850000,850000
3953,194.9467,11.1,11.01,11.36,1200000,1200000
4393,195.0083,12.04,11.9,12.19,2900000,2900000
2415,195.0105,7.87,7.76,7.99,170000,170000
3393,195.0511,9.84,9.67,10.78,41000000,41000000
4997,195.0511,13.93,13.79,14.11,82000,82000
3304,195.811,9.65,9.24,9.73,1200000,1200000
1848,195.9061,6.19,6.05,6.4,490000,490000
4471,195.927,12.27,12.19,12.47,1700000,1700000
4489,195.9319,12.3,12.21,12.41,330000,330000
2622,196.0228,8.36,8.22,8.59,1100000,1100000
3823,196.0228,10.81,10.73,10.9,310000,310000
2106,196.0286,6.91,6.82,7.08,260000,260000
3415,196.0545,9.87,9.67,10.3,2200000,2200000
2179,196.0729,7.19,7.02,7.5,1800000,1800000
3797,196.0729,10.7,10.61,10.81,830000,830000
4472,196.8856,12.27,12.19,12.44,220000,220000
4473,196.9234,12.27,12.19,12.47,9400000,9400000
4474,196.9318,12.27,12.19,12.44,2000000,2000000
1742,197.0068,5.36,5.1,5.88,160000,160000
3123,197.0223,9.3,9.21,10.1,11000000,11000000
1189,197.0433,2.98,2.87,3.56,310000,310000
3394,197.0554,9.84,9.73,10.13,520000,520000
2383,197.0668,7.76,7.65,8.36,590000,590000
1835,197.808,6.16,6.02,6.19,72000,72000
3313,197.8081,9.67,9.21,9.73,1900000,1900000
3128,198.0256,9.32,9.24,9.5,790000,790000
2501,198.0749,8.13,7.96,8.27,330000,330000
2272,198.1501,7.53,7.47,7.93,140000,140000
4475,198.9192,12.27,12.19,12.41,260000,260000
4490,198.9277,12.3,12.21,12.41,160000,160000
656,198.9449,2.01,1.96,2.16,60000,60000
4405,198.992,12.07,11.96,12.27,700000,700000
3140,199.0193,9.34,9.21,9.82,3300000,3300000
2467,199.0378,8.07,7.7,8.19,230000,230000
1076,199.0977,2.76,2.61,2.81,320000,320000
364,199.1705,1.64,1.59,1.96,920000,920000
3314,199.8051,9.67,9.32,9.73,900000,900000
4042,199.9695,11.21,11.07,11.33,160000,160000
1469,200.033,3.73,3.56,4.1,160000,160000
3182,200.0678,9.42,9.34,9.56,1500000,1500000
4972,200.9655,13.91,12.73,14.05,720000,720000
4192,200.9865,11.7,11.61,11.87,700000,700000
4538,200.9865,12.44,12.33,12.5,130000,130000
4222,201.0257,11.76,11.58,12.07,3700000,3700000
2241,201.0382,7.34,7.05,8.19,5100000,5100000
3736,201.0406,10.56,10.41,10.76,250000,250000
1810,201.0536,5.99,5.88,6.14,100000,100000
4598,201.1359,12.53,12.39,12.59,100000,100000
2994,202.0264,9.01,8.61,9.18,690000,690000
2232,202.0416,7.31,7.16,7.45,430000,430000
2817,202.0486,8.67,8.56,8.84,170000,170000
975,202.0908,2.7,2.47,2.76,880000,880000
703,202.0909,2.3,2.1,2.39,49000,49000
1135,202.1086,2.9,2.81,3.33,580000,580000
2852,202.9875,8.73,7.56,9.24,3200000,3200000
911,203.0021,2.64,2.41,2.7,360000,360000
1495,203.0021,3.84,3.67,4.41,450000,450000
3416,203.0206,9.87,9.67,10.07,2600000,2600000
2791,203.0675,8.64,8.53,8.9,510000,510000
3971,203.0675,11.13,10.98,11.3,970000,970000
2293,203.0827,7.62,7.42,8.3,20000000,20000000
1604,203.9869,4.47,4.41,4.59,51000,51000
1924,204.0001,6.37,6.22,6.51,79000,79000
4810,204.0338,13.25,12.81,13.59,2600000,2600000
1145,204.0434,2.93,2.84,3.47,1300000,1300000
1453,204.0434,3.64,3.47,3.87,140000,140000
3315,204.0514,9.67,9.59,9.79,290000,290000
1961,204.0642,6.65,6.45,6.97,550000,550000
1727,204.0667,5.22,4.9,5.7,360000,360000
2294,204.086,7.62,7.42,8.07,2500000,2500000
1077,204.1242,2.76,2.56,2.78,560000,560000
5447,204.9134,15.04,14.9,15.19,120000,120000
1910,204.9246,6.31,6.19,6.45,48000,48000
2623,204.9442,8.36,7.67,8.53,900000,900000
5049,204.9708,14.22,14.08,14.3,630000,630000
3395,205.0176,9.84,9.7,10.04,920000,920000
4281,205.0355,11.79,11.56,12.07,1900000,1900000
4416,205.0355,12.16,12.07,12.3,1700000,1700000
1146,205.0467,2.93,2.9,3.1,100000,100000
3538,205.0718,10.16,10.07,10.36,600000,600000
242,205.1599,1.59,1.24,1.93,1500000,1500000
2364,206.0025,7.73,7.65,7.85,270000,270000
4805,206.0296,13.22,13.07,13.36,120000,120000
4296,206.0388,11.81,11.67,11.9,140000,140000
1168,206.0405,2.95,2.87,3.44,360000,360000
2995,206.0671,9.01,8.9,9.1,1200000,1200000
2745,206.1035,8.59,8.47,8.76,570000,570000
1903,206.9746,6.28,6.02,6.48,140000,140000
976,207.0122,2.7,2.56,2.76,1800000,1800000
3106,207.0511,9.18,8.76,9.7,7700000,7700000
2171,207.0776,7.16,6.99,7.36,1100000,1100000
3209,208.9347,9.47,9.45,9.7,450000,450000
4948,208.9347,13.85,13.36,14.05,220000,220000
1955,208.9848,6.62,6.48,6.68,140000,140000
5209,209.0045,14.48,14.08,15.33,12000000,12000000
4394,209.0305,12.04,11.79,12.19,340000,340000
460,209.1548,1.79,1.62,1.87,350000,350000
1888,209.9449,6.25,6.11,6.34,200000,200000
1864,209.9491,6.22,5.99,6.6,24000000,24000000
1865,209.9534,6.22,6.08,6.37,220000,220000
5175,210.0079,14.45,14.16,14.62,880000,880000
5389,210.0079,14.7,14.67,14.93,460000,460000
4176,210.008,11.61,11.47,11.73,570000,570000
2597,210.026,8.33,8.24,8.53,390000,390000
3881,210.0286,10.95,10.81,11.84,74000000,74000000
3539,210.0885,10.16,10.07,10.3,680000,680000
4998,210.9318,13.93,13.59,14.02,80000,80000
4866,210.9319,13.45,13.36,13.53,58000,58000
4889,210.9725,13.53,12.79,14.08,1100000,1100000
4297,210.9919,11.81,11.61,11.93,200000,200000
1470,210.992,3.73,3.5,3.96,150000,150000
3396,211.0014,9.84,9.73,9.99,540000,540000
3191,211.0015,9.45,9.39,9.67,2200000,2200000
2315,211.0088,7.67,7.5,7.93,310000,310000
3882,211.0258,10.95,10.84,11.07,760000,760000
3883,211.032,10.95,10.81,11.21,3200000,3200000
1024,211.0589,2.73,2.5,2.84,3600000,3600000
1229,211.059,3.07,2.84,3.47,160000,160000
1431,211.059,3.61,3.47,3.76,110000,110000
2403,211.0825,7.82,7.62,7.99,320000,320000
441,211.1341,1.76,1.5,2.07,1200000,1200000
1811,211.8827,6.02,5.85,6.22,170000,170000
1852,211.9467,6.19,5.99,6.51,4100000,4100000
1853,211.9533,6.19,6.02,6.48,480000,480000
3986,212.0001,11.15,11.01,11.36,320000,320000
1529,212.0024,4.01,3.9,4.27,130000,130000
3884,212.0329,10.95,10.84,11.13,810000,810000
1432,212.0364,3.61,3.56,3.81,85000,85000
3249,212.0566,9.56,9.5,9.7,380000,380000
2122,212.0906,6.94,6.57,7.65,2400000,2400000
398,212.1375,1.7,1.64,1.9,160000,160000
1866,212.8847,6.22,6.02,6.48,510000,510000
184,212.9793,1.56,1.5,1.93,580000,580000
4653,213.0019,12.64,12.53,12.87,490000,490000
2712,213.0131,8.53,8.27,8.73,800000,800000
3709,213.0171,10.5,10.41,10.7,430000,430000
1078,213.0769,2.76,2.61,2.95,720000,720000
1433,213.0769,3.61,3.33,4.1,390000,390000
855,213.0895,2.53,2.39,2.61,750000,750000
467,213.1498,1.82,1.64,1.96,350000,350000
365,213.1861,1.64,1.59,1.96,760000,760000
1904,213.8832,6.28,6.05,6.4,71000,71000
1854,213.9166,6.19,6.11,6.34,130000,130000
1867,213.9509,6.22,6.08,6.37,77000,77000
935,213.9639,2.67,2.53,2.76,1000000,1000000
1925,214.0157,6.37,6.05,6.65,170000,170000
3718,214.0209,10.53,10.41,10.7,690000,690000
1962,214.0219,6.65,6.37,7.14,3100000,3100000
3710,214.0335,10.5,10.38,10.7,280000,280000
3555,214.0487,10.19,10.01,10.38,3300000,3300000
2365,214.0489,7.73,7.53,7.96,290000,290000
1095,214.145,2.81,2.78,3.01,210000,210000
545,214.1451,1.9,1.82,2.13,130000,130000
1905,214.88,6.28,5.93,6.6,8200000,8200000
4093,215.005,11.44,11.36,11.61,400000,400000
3183,215.0149,9.42,9.39,9.7,780000,780000
3224,215.0559,9.5,9.45,9.82,750000,750000
2898,215.0674,8.81,8.73,8.98,860000,860000
3448,215.0688,9.96,9.84,10.1,1200000,1200000
1114,215.0925,2.73,2.56,2.81,3900000,3900000
620,215.0926,1.93,1.82,2.47,1600000,1600000
858,215.1051,2.53,2.39,2.58,150000,150000
3173,215.1172,9.39,9.21,9.67,4200000,4200000
494,215.1654,1.87,1.67,1.93,250000,250000
1889,215.8771,6.25,6.08,6.42,63000,63000
1828,215.8804,6.14,6.02,6.45,210000,210000
4153,215.9369,11.56,11.36,11.64,230000,230000
652,215.9602,1.99,1.93,2.27,650000,650000
704,215.9973,2.3,1.96,2.7,140000,140000
4654,216.0199,12.64,12.53,12.84,150000,150000
3267,216.0877,9.59,9.5,9.73,620000,620000
2242,216.0879,7.34,7.14,7.5,1100000,1100000
1868,216.8771,6.22,5.99,6.57,2600000,2600000
1911,216.8842,6.31,6.08,6.48,110000,110000
4447,216.897,12.24,12.19,12.41,160000,160000
4476,216.9096,12.27,12.16,12.5,12000000,12000000
3175,216.946,9.39,9.21,9.65,1000000,1000000
4716,216.9814,12.84,12.64,13.13,5300000,5300000
1930,216.9901,6.4,5.99,6.57,220000,220000
2964,217.0032,8.93,8.61,9.21,19000000,19000000
4632,217.0163,12.61,12.5,12.99,560000,560000
2819,217.0485,8.67,8.47,9.1,34000000,34000000
3441,217.0485,9.93,9.84,10.07,200000,200000
2653,217.0831,8.39,7.99,8.73,890000,890000
3719,217.0831,10.53,10.44,10.87,210000,210000
546,217.1082,1.9,1.82,2.39,720000,720000
3124,217.1153,9.3,9.21,9.65,1400000,1400000
1890,217.8775,6.25,6.08,6.42,87000,87000
4491,217.909,12.3,12.19,12.44,200000,200000
384,217.9766,1.67,1.64,1.93,140000,140000
4720,217.9847,12.87,12.67,13.05,410000,410000
3015,218.0065,9.07,8.61,9.21,1200000,1200000
2107,218.0191,6.91,6.74,7.22,770000,770000
3164,218.0332,9.37,9.18,9.73,45000000,45000000
3226,218.0359,9.5,9.47,9.65,360000,360000
3144,218.0402,9.34,9.21,9.65,1900000,1900000
2820,218.0519,8.67,8.53,8.84,2200000,2200000
3720,218.0672,10.53,10.41,10.7,4700000,4700000
3130,218.1033,9.32,9.24,9.76,2300000,2300000
2124,218.1896,6.94,6.74,7.34,1000000,1000000
4492,218.9054,12.3,12.16,12.44,1200000,1200000
4477,218.9139,12.27,12.19,12.41,210000,210000
662,218.9599,2.1,1.96,2.16,64000,64000
4712,218.9772,12.81,12.7,12.99,230000,230000
2574,218.9824,8.24,8.04,8.41,370000,370000
97,218.9863,1.5,1.42,1.96,780000,780000
4633,219.012,12.61,12.56,12.81,300000,300000
2821,219.0456,8.67,8.5,8.93,11000000,11000000
2822,219.0528,8.67,8.53,8.79,370000,370000
3987,219.0625,11.15,11.07,11.33,1200000,1200000
2172,219.0683,7.16,7.02,7.47,1500000,1500000
2882,219.0988,8.79,8.61,8.84,350000,350000
2136,219.1007,6.97,6.74,7.28,1600000,1600000
2125,219.1068,6.94,6.65,8.1,40000000,40000000
185,219.1755,1.56,1.39,1.9,570000,570000
4282,219.5627,11.79,11.64,12.01,3100000,3100000
1926,219.9776,6.37,5.96,6.6,180000,180000
3662,220.0287,10.44,10.38,10.58,350000,350000
2424,220.0325,7.9,7.76,8.02,450000,450000
3145,220.0374,9.34,9.21,9.47,540000,540000
2823,220.049,8.67,8.5,8.79,670000,670000
4283,220.0644,11.79,11.64,11.93,600000,600000
1314,220.0651,3.33,3.18,3.76,320000,320000
2758,220.1192,8.61,8.53,8.79,320000,320000
5435,220.9448,14.9,14.62,15.42,1300000,1300000
4417,220.9763,12.16,12.04,12.24,260000,260000
2195,221.0124,7.25,7.11,7.62,32000000,32000000
2339,221.0124,7.7,7.62,8.39,4400000,4400000
3988,221.0603,11.15,11.01,12.53,46000000,46000000
3111,221.0667,9.21,8.81,10.98,19000000,19000000
3805,221.0934,10.73,10.67,10.87,180000,180000
2151,221.1111,6.99,6.8,7.19,410000,410000
366,221.1548,1.64,1.45,1.96,870000,870000
2047,222.0304,6.8,6.45,7.25,980000,980000
3107,222.062,9.18,8.7,9.82,15000000,15000000
3691,222.0621,10.47,10.19,11.04,6000000,6000000
3112,222.0701,9.21,8.79,9.39,2200000,2200000
2369,222.0985,7.73,7.62,7.79,98000,98000
1921,222.9521,6.34,5.99,6.54,220000,220000
3022,223.0076,9.1,8.84,9.15,640000,640000
2196,223.0093,7.25,7.14,7.39,1000000,1000000
5089,223.0155,14.36,14.3,14.87,1500000,1500000
3023,223.0201,9.1,8.9,9.15,580000,580000
5234,223.0201,14.5,14.08,15.94,210000000,210000000
133,223.0285,1.53,1.39,2.04,5100000,5100000
977,223.0286,2.7,2.04,2.95,890000,890000
4015,223.0562,11.18,11.04,11.47,2200000,2200000
4016,223.0647,11.18,11.07,11.36,330000,330000
3032,223.0654,9.13,8.76,9.24,970000,970000
548,223.0977,1.9,1.76,2.04,190000,190000
3114,223.9851,9.27,9.21,9.45,3100000,3100000
5235,224.0235,14.5,14.08,15.27,13000000,13000000
3908,224.0236,11.01,10.95,11.13,420000,420000
2029,224.0274,6.77,6.48,6.97,340000,340000
3316,224.0566,9.67,9.59,9.79,490000,490000
2792,224.0777,8.64,8.33,9.18,8800000,8800000
1822,224.8036,6.11,5.82,6.54,240000,240000
5332,224.9784,14.62,14.25,15.16,1300000,1300000
5467,225.0043,15.27,15.13,15.53,61000,61000
3885,225.0076,10.95,10.78,11.13,1100000,1100000
468,225.0077,1.82,1.59,2.07,1100000,1100000
2443,225.0243,7.99,7.79,8.24,260000,260000
5236,225.02440000000001,14.5,14.16,15.07,2600000,2600000
3074,225.0617,9.15,8.7,9.79,60000000,60000000
3664,225.0618,10.44,10.3,11.01,19000000,19000000
3591,225.0647,10.27,10.16,10.41,3300000,3300000
2793,225.0811,8.64,8.5,8.81,660000,660000
864,225.0896,2.53,2.39,2.61,1000000,1000000
3592,225.0994,10.27,10.1,10.47,2700000,2700000
549,225.1134,1.9,1.7,2.01,270000,270000
306,225.1861,1.62,1.56,2.07,930000,930000
1855,225.9267,6.19,5.99,6.57,3100000,3100000
3115,225.9822,9.27,9.21,9.42,1700000,1700000
3442,226.0018,9.93,9.87,10.04,330000,330000
4194,226.0028,11.7,11.61,11.84,140000,140000
4811,226.0158,13.25,12.87,13.45,190000,190000
1169,226.0253,2.95,2.9,3.24,110000,110000
2965,226.057,8.93,8.79,9.04,290000,290000
3075,226.057,9.15,9.04,9.24,530000,530000
2945,226.0651,8.9,8.7,9.37,4500000,4500000
3665,226.0651,10.44,10.33,10.81,1500000,1500000
3192,226.0652,9.45,9.42,9.67,490000,490000
1790,226.0834,5.76,5.42,6.74,1100000,1100000
2901,226.0835,8.81,8.7,9.07,4200000,4200000
2165,226.0894,7.14,6.88,7.53,930000,930000
1869,226.8015,6.22,6.08,6.34,77000,77000
4395,226.9421,12.04,11.96,12.19,270000,270000
4186,227.0233,11.67,11.56,11.76,230000,230000
3377,227.0525,9.82,9.7,10.01,280000,280000
3722,227.0546,10.53,10.44,10.7,270000,270000
3363,227.0651,9.79,9.7,10.07,1200000,1200000
3666,227.0659,10.44,10.33,10.7,280000,280000
1295,227.0674,3.27,3.13,3.53,390000,390000
2934,227.0682,8.87,8.79,8.98,230000,230000
2794,227.0774,8.64,8.5,8.98,5700000,5700000
2902,227.08690000000001,8.81,8.76,8.96,370000,370000
1079,227.0925,2.76,2.56,3.44,1300000,1300000
623,227.0926,1.93,1.7,2.36,610000,610000
5040,227.1015,14.11,13.71,14.36,3200000,3200000
867,227.1052,2.53,2.39,2.61,460000,460000
550,227.129,1.9,1.64,1.99,400000,400000
443,227.1654,1.76,1.7,1.93,200000,200000
307,227.2018,1.62,1.5,2.13,12000000,12000000
937,227.2018,2.67,2.13,3.07,2200000,2200000
1829,227.9309,6.14,6.08,6.4,65000,65000
3193,227.9513,9.45,9.37,9.62,1200000,1200000
5008,228.0209,13.96,13.79,14.05,89000,89000
1580,228.0314,4.24,3.9,4.87,410000,410000
2575,228.0365,8.24,7.93,8.3,290000,290000
3604,228.0366,10.3,10.21,10.73,1100000,1100000
2759,228.0491,8.61,8.53,8.73,160000,160000
3634,228.0491,10.36,10.24,10.47,780000,780000
3593,228.0644,10.27,10.16,10.95,16000000,16000000
