name,revised_Query,Compound_Name,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Hilic_20min_QE,Hilic_25min_QE,Hilic_25min_QE2,Hilic_Rutgers_QEPlus,Hilic_30min_QTOF,E_Waters_25min,E_30min,lipids,formula,mass,rdbe
dihydroxy-acetone-phosphate,dihydroxy-acetone-phosphate,Dihydroxyacetone phosphate,HMDB0001473,668,16108,C00111,6262,C(C(=O)COP(=O)(O)O)O,6.63,13.51,13.01374121,,,,,,C3H7O6P1,169.9980244,1
dimethylglycine,dimethylglycine,Dimethylglycine,HMDB0000092,673,17724,C01026,277,CN(C)CC(=O)O,6.42,11.34,10.92345117,,10.76,1.85,,,C4H9N1O2,103.0633285,1
Dimethylmalonic acid,Dimethylmalonic acid,Dimethylmalonic acid,HMDB0002001,11686,111517,,6425,CC(C)(C(=O)O)C(=O)O,5.69,9.07,8.736834404,7.97,8.36,,14.6,,C5H8O4,132.0422587,2
DL-2-Aminooctanoic acid,DL-2-Aminooctanoic acid,DL-2-Aminooctanoic acid,HMDB0000991,69522,75145,,5923,CCCCCCC(C(=O)O)N,5.46,7,6.742871094,2.53,7.19,12.09,14.43,,C8H17N1O2,159.1259288,1
DL-Arabinose,DL-Arabinose,D-Arabinose,HMDB0029942,66308,46983,,,C([C@H]([C@H]([C@@H](C=O)O)O)O)O,,10.6,10.21063337,4.34,,,,,C5H10O5,150.0528234,1
DL-Pipecolic acid,DL-Pipecolic acid,Pipecolic acid,HMDB0000070,849,17964,C00408,50,C1CCNC(C1)C(=O)O,6.48,11.48,11.05830859,,10.91,2.34,2.07,,C6H11N1O2,129.0789786,2
DL-Valine,L-Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@@H](C(=O)O)N,,10.97,10.56704227,,,,2.05,,C5H11N1O2,117.0789786,1
dTDP,dTDP,dTDP,HMDB0001274,164628,18075,C00363,6129,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O,,13.37,12.87888379,,13.39,,15.23,,C10H16N2O11P2,402.0229323,5
dTTP,dTTP,Thymidine 5'-triphosphate,HMDB0001342,64968,18077,C00459,,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,6.77,13.85,13.34125209,12.33,13.53,12.47,15.4,,C10H17N2O14P3,481.9892627,5
dUMP,dUMP,dUMP,HMDB0001409,65063,17622,C00365,6225,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,6.34,13.59,13.0908026,,13.01,10.89,15,,C9H13N2O8P1,308.0409519,5
dUTP,dUTP,Deoxyuridine triphosphate,HMDB0001191,65070,17625,C00460,6069,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,6.79,13.94,13.42794615,,13.58,12.24,15.29,,C9H15N2O14P3,467.9736127,5
FAD,FAD,FAD,HMDB0001248,643975,16238,C00016,6106,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O,6.33,,12.06010659,8.98,11.87,13.63,16.28,,C27H33N9O15P2,785.1571344,17
FMN,FMN,Flavin Mononucleotide,HMDB0001520,643976,17621,C00061,6295,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,6.33,13.17,12.68623033,,12.86,13.26,,,C17H21N4O9P1,456.1046148,10
folate,folate,Folic acid,HMDB0000121,6037,27470,C00504,246,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,6.32,13.26,12.77292439,,12.76,12.63,15.57,,C19H19N7O6,441.1396814,14
Fructose,Fructose,D-Fructose,HMDB0000660,439709,28645,C02336,135,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,6.27,10.65,10.25879674,5.04,9.22,2.16,1.85,,C6H12O6,180.0633881,1
fructose-1-6-bisphosphate,"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",HMDB0001058,172313,16905,C00354,147,C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O,,13.9,13.38941546,,13.48,,15.56,,C6H14O12P2,339.9960489,1
fumarate,fumarate,Fumaric acid,HMDB0000134,444972,18012,C00122,3242,C(=C/C(=O)O)\C(=O)O,5.72,11.61,11.18353334,,10.35,12.41,14.97,,C4H4O4,116.0109586,3
Galactose,Galactose,D-Galactose,HMDB0000143,439357,28061,C00984,134,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,6.68,12.12,11.67479967,,,2.13,,,C6H12O6,180.0633881,1
Galacturonic acid,Galacturonic acid,Galacturonic acid,HMDB0002545,84740,47962,C08348,6713,C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O,6.32,13.43,12.93667983,9.24,,,,,C6H10O7,194.0426527,2
GDP,GDP,Guanosine diphosphate,HMDB0001201,8977,17552,C00035,6077,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N,7.06,13.99,13.47610952,,13.65,11.8,15.06,,C10H15N5O11P2,443.0243293,7
Gluconolactone,Gluconolactone,Gluconolactone,HMDB0000150,7027,16217,C00198,353,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,,7.81,7.523117607,2.28,4.8,,,,C6H10O6,178.047738,2
glucosamine-6-phosphate,glucosamine-6-phosphate,Glucosamine 6-phosphate,HMDB0001254,439217,15873,C00352,6111,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O,7.01,13.85,13.34125209,,13.52,2.11,2.7,,C6H14N1O8P1,259.0457029,1
Glucose,Glucose,D-Glucose,HMDB0000122,5793,4167,C00031,133,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,6.56,11.75,11.31839077,6.18,11.27,2.16,1.85,,C6H12O6,180.0633881,1
glucose-1-phosphate,glucose-1-phosphate,Glucose 1-phosphate,HMDB0001586,439165,16077,C00103,6331,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)(O)O)O)O)O)O,6.65,13.86,13.35088477,,13.43,8.99,,,C6H13O9P1,260.0297185,1
Glutaconic acid,Glutaconic acid,Glutaconic acid,HMDB0000620,5280498,15670,C02214,5593,C(/C=C/C(=O)O)C(=O)O,,13.51,13.01374121,2.86,10.93,11.06,,,C5H6O4,130.0266087,3
glutamate,glutamate,L-Glutamic acid,HMDB0000148,33032,16015,C00025,5174,C(CC(=O)O)[C@@H](C(=O)O)N,6.37,13.21,12.72476102,,12.26,7.29,5.52,,C5H9N1O4,147.0531578,2
glutamine,glutamine,L-Glutamine,HMDB0000641,5961,18050,C00064,5614,C(CC(=O)N)[C@@H](C(=O)O)N,6.95,13.3,12.81145508,,12.99,2.1,1.82,,C5H10N2O3,146.0691422,2
Glutaric acid,Glutaric acid,Glutaric acid,HMDB0000661,743,17859,C00489,3254,C(CC(=O)O)CC(=O)O,6.33,12.24,11.79039174,8.77,,12.04,14.69,,C5H8O4,132.0422587,2
glutathione,glutathione,Glutathione,HMDB0000125,124886,16856,C00051,44,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,6.33,13.05,12.57063825,,12.34,9.33,11.38,,C10H17N3O6S1,307.083806,4
glutathione disulfide,glutathione disulfide,Oxidized glutathione,HMDB0003337,975,17858,C00127,6893,C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N,6.87,13.76,13.25455804,,13.43,11.8,14.23,,C20H32N6O12S2,612.151962,8
Glyceraldehyde-3-phosphate,Glyceraldehyde-3-phosphate,D-Glyceraldehyde 3-phosphate,HMDB0001112,729,17138,C00661,3294,C(C(C=O)O)OP(=O)(O)O,6.63,13.73,13.22566002,,,,,,C3H7O6P1,169.9980244,1
glycerate,glycerate,Glyceric acid,HMDB0000139,439194,32398,C00258,280,C([C@H](C(=O)O)O)O,,10.56,10.17210268,,8.31,8.41,8.26,,C3H6O4,106.0266087,1
glycine,glycine,Glycine,HMDB0000123,750,15428,C00037,20,C(C(=O)O)N,,13.3,12.81145508,,12.94,2.08,1.84,,C2H5N1O2,75.03202841,1
glycolate,glycolate,Glycolic acid,HMDB0000115,757,17497,C00160,3219,C(C(=O)O)O,,8.88,8.553813617,,8.29,8.55,8.7,,C2H4O3,76.01604399,1
Glycyl-L-leucine,Glycyl-L-leucine,Leucyl-Glycine,HMDB0028929,NA,,,,CC(C)CC(N)C(=O)NCC(O)=O,,8.54,8.226302735,,,,1.87,,C8H16N2O3,188.1160924,2
Glycyl-L-proline,Glycyl-L-proline,Glycylproline,HMDB0000721,79101,356660,,5689,C1CC(N(C1)C(=O)CN)C(=O)O,6.36,12.72,12.25276005,7.87,12.11,2.25,2.05,,C7H12N2O3,172.0847923,3
GMP,GMP,Guanosine monophosphate,HMDB0001397,6804,17345,C00144,6216,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,6.76,13.79,13.28345606,10.85,13.47,10.67,14.89,,C10H14N5O8P1,363.0579989,7
GTP,GTP,Guanosine triphosphate,HMDB0001273,6830,15996,C00044,6128,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N,,14.34,13.81325307,13.82,13.7,12.14,15.31,,C10H16N5O14P3,522.9906597,7
Guanidoacetic acid,Guanidoacetic acid,Guanidoacetic acid,HMDB0000128,763,16344,C00581,5163,C(C(=O)O)N=C(N)N,7.1,13.1,12.61880162,,12.82,2.14,1.9,,C3H7N3O2,117.0538265,2
guanine,guanine,Guanine,HMDB0000132,764,16235,C00242,315,C1=NC2=C(N1)C(=O)N=C(N2)N,,8.51,8.197404716,,7.98,,4.3,,C5H5N5O1,151.0494098,6
guanosine,guanosine,Guanosine,HMDB0000133,6802,16750,C00387,87,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N,6.01,9.58,9.228100726,,8.98,7.53,9.55,,C10H13N5O5,283.0916686,7
Histamine,Histamine,Histamine,HMDB0000870,774,18295,C00388,68,C1=C(NC=N1)CCN,,14,13.48574219,6.82,,,1.53,,C5H9N3,111.0796473,3
histidine,histidine,L-Histidine,HMDB0000177,6274,15971,C00135,21,C1=C(NC=N1)C[C@@H](C(=O)O)N,7.17,14.24,13.71692634,,13.85,1.54,1.53,,C6H9N3O2,155.0694766,4
Homoarginine,Homoarginine,Homo-L-arginine,HMDB0000670,9085,27747,C01924,5640,C(CCN=C(N)N)C[C@@H](C(=O)O)N,13.84,17.98,17.31954604,11.44,18.23,1.48,1.4,,C7H16N4O2,188.1273258,2
Homocarnosine,Homocarnosine,Homocarnosine,HMDB0000745,10243361,491179,C00884,270,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCCN,8.34,14.27,13.74582436,9.52,14.03,1.48,1.53,,C10H16N4O3,240.1222404,5
Homocitrulline,Homocitrulline,Homocitrulline,HMDB0000679,65072,17443,C02427,46,C(CCNC(=O)N)C[C@@H](C(=O)O)N,7.14,13.43,12.93667983,7.88,13.17,2.25,1.99,,C7H15N3O3,189.1113414,2
homocysteine,homocysteine,Homocysteine,HMDB0000742,778,17230,C00155,3256,C(CS)C(C(=O)O)N,,10.75,7.667607702,,,,2.13,,C4H9N1O2S1,135.0353993,1
homocystine,homocystine,DL-Homocystine,HMDB0000575,10010,17485,C01817,5557,C(CSSCCC(C(=O)O)N)C(C(=O)O)N,,13.82,13.31235407,,,,,,C8H16N2O4S2,268.0551485,2
homoserine,homoserine,L-Homoserine,HMDB0000719,12647,15699,C00263,5687,C(CO)[C@@H](C(=O)O)N,6.95,13.15,12.66696498,,12.9,2.07,1.85,,C4H9N1O3,119.0582432,1
Hydroquinone,Hydroquinone,Hydroquinone,HMDB0002434,785,17594,C00530,6681,C1=CC(=CC=C1O)O,,2.9,2.793475168,2.01,,10.77,,,C6H6O2,110.0367794,4
Hydroxyindoleacetic acid,Hydroxyindoleacetic acid,5-Hydroxyindoleacetic acid,HMDB0000763,1826,27823,C05635,2975,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,4.08,7.04,6.781401786,2.81,6.51,11.71,14.49,,C10H9N1O3,191.0582432,7
Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,HMDB0000755,9378,17385,C03672,5723,C1=CC(=CC=C1CC(C(=O)O)O)O,3.35,2.85,2.745311803,2.61,5.05,11.74,14.29,,C9H10O4,182.0579088,5
hydroxyphenylpyruvate,hydroxyphenylpyruvate,4-Hydroxyphenylpyruvic acid,HMDB0000707,979,15999,C01179,5675,C1=CC(=CC=C1CC(=O)C(=O)O)O,2.12,2.74,2.6393524,,2.8,12.32,14.95,,C9H8O4,180.0422587,6
hydroxyproline,hydroxyproline,4-Hydroxyproline,HMDB0000725,5810,18095,C01157,257,C1[C@H](CN[C@@H]1C(=O)O)O,6.32,12.91,12.43578083,,11.33,11.52,,,C5H9N1O3,131.0582432,2
hypoxanthine,hypoxanthine,Hypoxanthine,HMDB0000157,790,17368,C00262,83,C1=NC2=C(N1)C(=O)N=CN2,4.97,7.5,7.224504744,,6.49,7.24,,,C5H4N4O1,136.0385108,6
IDP,IDP,IDP,HMDB0003335,644173,17808,C00104,6892,C1=NC(=O)C2=C(N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O,6.76,13.82,13.31235407,,13.53,11.86,,,C10H14N4O11P2,428.0134303,7
Imidazoleacetic acid,Imidazoleacetic acid,Imidazoleacetic acid,HMDB0002024,96215,16974,C02835,6445,C1=C(NC=N1)CC(=O)O,2.87,4.04,3.891599889,,3.1,,,,C6H8N2O2,140.0585775,4
IMP,IMP,Inosinic acid,HMDB0000175,8582,17202,C00130,5196,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,6.48,13.68,13.17749665,,13.35,10.72,14.62,,C10H13N4O8P1,348.0470999,7
indole,indole,Indole,HMDB0000738,798,16881,C00463,286,C1=CC=C2C(=C1)C=CN2,1.89,2.6,2.504494978,,2.45,,,,C8H7N1,117.0578492,6
Indole-3-ethanol,Indole-3-ethanol,Tryptophanol,HMDB0003447,10685,17890,C00955,6932,C1=CC=C2C(=C1)C(=CN2)CCO,,2.76,2.658617746,,,,,,C10H11N1O1,161.084064,6
inosine,inosine,Inosine,HMDB0000195,6021,17596,C00294,84,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,5.69,8.43,8.120343332,,7.9,7.22,,,C10H12N4O5,268.0807695,7
isoleucine,isoleucine,L-Isoleucine,HMDB0000172,6306,17191,C00407,5193,CC[C@H](C)[C@@H](C(=O)O)N,6.01,9.73,9.372590821,,9.13,3.59,3.21,,C6H13N1O2,131.0946287,1
Isovaleric acid,Isovaleric acid,Isovaleric acid,HMDB0000718,10430,28484,C08262,109,CC(C)CC(=O)O,,12.01,11.56884026,,,,,,C5H10O2,102.0680796,1
Isoxanthopterin,Isoxanthopterin,Isoxanthopterin,HMDB0000704,10729,16713,C03975,5672,C1=NC2=C(NC1=O)NC(=NC2=O)N,5.7,10.76,10.13357199,6.26,8.4,7.13,7.84,,C6H5N5O2,179.0443245,7
L-2-Hydroxyglutaric acid,L-2-Hydroxyglutaric acid,L-2-Hydroxyglutaric acid,HMDB0000694,439939,32797,C03196,5662,C(CC(=O)O)[C@@H](C(=O)O)O,6.34,5.24,5.047520648,,,,,,C5H8O5,148.0371734,2
L-Aspartyl-L-phenylalanine,L-Aspartyl-L-phenylalanine,L-Aspartyl-L-phenylalanine,HMDB00706,93078,385866,,5674,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N,5.65,10.72,10.32622545,,10.09,12.38,14.98,,C13H16N2O5,280.1059216,7
lactate,lactate,L-Lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@@H](C(=O)O)O,5.09,7.8,7.513484934,,7.42,8.92,10.59,,C3H6O3,90.03169405,1
Lactose,Lactose,Alpha-Lactose,HMDB0000186,84571,36219,C00243,267,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,7.16,13.86,13.35088477,8.88,13.04,,1.96,,C12H22O11,342.1162115,2
leucine,leucine,L-Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@@H](C(=O)O)N,5.87,9.18,8.842793807,,8.65,4.07,3.21,,C6H13N1O2,131.0946287,1
Linoleic acid,Linoleic acid,Linoleic acid,HMDB0000673,5280450,17351,C01595,191,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,,2.37,2.282943499,,,,,,C18H32O2,280.2402303,3
lysine,lysine,L-Lysine,HMDB0000182,5962,18019,C00047,5200,C(CCN)C[C@@H](C(=O)O)N,13.5,17.53,16.88607575,,17.59,1.44,1.37,,C6H14N2O2,146.1055277,1
m-Coumaric acid,m-Coumaric acid,m-Coumaric acid,HMDB0001713,637541,32357,C12621,305,C1=CC(=CC(=C1)O)/C=C/C(=O)O,,2.95,2.841638533,,,,14.29,,C9H8O3,164.0473441,6
malate,malate,L-Malic acid,HMDB0000156,222656,30797,C00149,,C([C@@H](C(=O)O)O)C(=O)O,6.34,13.28,12.79218973,,12.92,11.83,14.61,,C4H6O5,134.0215233,2
Malonic acid,Malonic acid,Malonic acid,HMDB0000691,867,30794,C00383,3237,C(C(=O)O)C(=O)O,6.33,13.04,12.56100558,9.01,10.9,,,,C3H4O4,104.0109586,2
malonyl-CoA,malonyl-CoA,Malonyl-CoA,HMDB0001175,10663,15531,C00083,6056,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O,6.33,13.46,12.96557785,,,,,,C24H38N7O19P3S1,853.1156023,11
Mandelic acid,Mandelic acid,Mandelic acid,HMDB0000703,439616,32800,C01984,5671,C1=CC=C(C=C1)[C@@H](C(=O)O)O,2.57,2.77,2.668250419,2.02,3.73,12.69,15.39,,C8H8O3,152.0473441,5
Mannose,Mannose,D-Mannose,HMDB0000169,18950,4208,C00159,,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,6.4,11.14,10.73079771,5.86,10.45,2.11,1.85,,C6H12O6,180.0633881,1
Mannose 6-phosphate,Mannose 6-phosphate,Mannose 6-phosphate,HMDB0001078,439198,49728,C00275,5987,C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O,6.65,13.75,13.24492536,,13.43,8.99,11.37,,C6H13O9P1,260.0297185,1
Melatonin,Melatonin,Melatonin,HMDB0001389,896,16796,C01598,73,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,2.05,2.85,2.745311803,1.23,2.86,13.04,16.22,,C13H16N2O2,232.1211778,7
methionine,methionine,L-Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@@H](C(=O)O)N,6.05,9.98,9.613407646,,9.38,2.94,2.62,,C5H11N1O2S1,149.0510493,1
Methionine sulfoxide,Methionine sulfoxide,Methionine sulfoxide,HMDB0002005,847,49033,,6428,CS(=O)CCC(C(=O)O)N,6.58,12.98,12.50320954,7.58,12.74,2.17,1.88,,C5H11N1O3S1,165.045964,1
Methylcysteine,Methylcysteine,Methylcysteine,HMDB0002108,24417,497729,,6490,CSC[C@@H](C(=O)O)N,,10.77,10.37438881,,,,2.13,,C4H9N1O2S1,135.0353993,1
Methylglutaric acid,Methylglutaric acid,Methylglutaric acid,HMDB0000752,12284,68566,,5720,CC(CC(=O)O)CC(=O)O,5.73,11.65,11.22206404,,10.28,12.11,15.06,,C6H10O4,146.0579088,2
Methylmalonic acid,Methylmalonic acid,Methylmalonic acid,HMDB0000202,487,30860,C02170,3712,CC(C(=O)O)C(=O)O,6.31,11.63,11.20279869,8.7,11.57,11.87,15.52,,C4H6O4,118.0266087,2
methylnicotinamide,1-Methylnicotinamide,1-Methylnicotinamide,HMDB0000699,457,16797,C02918,5667,C[N+]1=CC=CC(=C1)C(=O)N,,4.23,4.074620676,,,,,,C7H9N2O1,137.0714879,5
Methyloxovaleric acid (Ketoleucine),Ketoleucine,Ketoleucine,HMDB0000695,70,48430,C00233,5663,CC(C)CC(=O)C(=O)O,2.06,2.51,2.417800921,1.91,,,16.34,,C6H10O3,130.0629942,2
Methylsuccinic acid,Methylsuccinic acid,Methylsuccinic acid,HMDB0001844,10349,29003,C08645,6344,CC(CC(=O)O)C(=O)O,6.32,,11.01014523,8.57,11.2,12.04,14.69,,C5H8O4,132.0422587,2
myo-inositol,myo-inositol,myo-Inositol,HMDB0000211,NA,17268,C00137,5221,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,,13.86,13.35088477,,,,1.85,,C6H12O6,180.0633881,1
Myristic acid,Myristic acid,Myristic acid,HMDB0000806,11005,28875,C06424,196,CCCCCCCCCCCCCC(=O)O,1.86,2.42,2.331106864,,,,,,C14H28O2,228.2089301,1
N-Acetyl-cysteine,Acetylcysteine,Acetylcysteine,HMDB0001890,12035,28939,C06809,784,CC(=O)N[C@@H](CS)C(=O)O,,7.02,6.76213644,,,10.95,,,C5H9N1O3S1,163.0303139,2
N-Acetyl-L-alanine,N-Acetyl-L-alanine,N-Acetyl-L-alanine,HMDB0000766,88064,40992,,5733,C[C@@H](C(=O)O)NC(=O)C,5.49,8.08,7.783199778,4.06,7.84,9.74,11.84,,C5H9N1O3,131.0582432,2
N-Acetyl-L-arginine,N-Acetyl-L-arginine,N-a-Acetyl-L-arginine,HMDB0004620,67427,40521,,,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O,,13.26,12.77292439,,,2.62,,,C8H16N4O3,216.1222404,3
N-Acetyl-L-asparagine,N-Acetyl-L-asparagine,N-Acetylasparagine,HMDB0006028,99715,,,,CC(=O)N[C@@H](CC(=O)N)C(=O)O,,10.64,10.24916406,,,8.62,,,C6H10N2O4,174.0640568,3
N-acetyl-L-glutamine,N-acetyl-L-glutamine,N-Acetylglutamine,HMDB0006029,25561,73685,,,CC(=O)NC(CCC(=O)N)C(=O)O,,10.56,10.17210268,,9.93,8.81,11.03,,C7H12N2O4,188.0797069,3
N-Acetyl-L-isoleucine,N-Acetyl-L-isoleucine,NA,HMDB0061684,7036275,,,,CCC(C)C(C(=O)O)NC(=O)C,,6.6,6.357564175,,,13.4,,,C8H15N1O3,173.1051934,2
N-Acetyl-L-leucine,N-Acetyl-L-leucine,N-Acetylleucine,HMDB0011756,70912,17786,C02710,,CC(C)C[C@@H](C(=O)O)NC(=O)C,,6.72,6.473156251,,,13.19,,,C8H15N1O3,173.1051934,2
N-acetyl-L-ornithine,N-acetylornithine,N-Acetylornithine,HMDB0003357,439232,16543,C00437,,CC(=O)N[C@@H](CCCN)C(=O)O,,13.84,13.33161942,8.3,,2.16,,,C7H14N2O3,174.1004423,2
N-Acetyl-L-phenylalanine,N-Acetyl-L-phenylalanine,N-Acetyl-L-phenylalanine,HMDB0000512,74839,16259,C03519,5498,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,,5.17,2.841638533,,,13.62,,,C11H13N1O3,207.0895433,6
N-Acetyl-L-proline,N-Acetyl-L-proline,NA,HMDB0094701,66141,,,,CC(=O)N1CCCC1C(=O)O,,8.65,8.332262138,,,10.44,,,C7H11N1O3,157.0738932,3
N-Acetylaspartic acid,N-Acetylaspartic acid,N-Acetyl-L-aspartic acid,HMDB0000812,65065,21547,C01042,5776,CC(=O)N[C@@H](CC(=O)O)C(=O)O,6.36,,11.83855511,,12.03,12.27,14.74,,C6H9N1O5,175.0480724,3
N-Acetylcarnitine,Acetylcarnitine,L-Acetylcarnitine,HMDB0000201,1,,C02571,5213,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,6.33,11.38,10.96198186,,,,,,C9H17N1O4,203.115758,2
N-Acetylglycine,N-Acetylglycine,Acetylglycine,HMDB0000532,10972,40410,,5517,CC(=O)NCC(=O)O,5.62,8.73,8.409323522,,8.27,8.9,,,C4H7N1O3,117.0425931,2
N-Acetyllysine,Acetyllysine,N-Alpha-acetyllysine,HMDB0000446,192590,35704,C12989,5435,CC(=O)NC(CCCCN)C(=O)O,7.48,13.65,13.14859863,,13.35,10.64,,,C8H16N2O3,188.1160924,2
N-Acetylputrescine,N-Acetylputrescine,N-Acetylputrescine,HMDB0002064,122356,17768,C02714,3252,CC(=O)NCCCCN,,15.7,15.1232966,6.04,,,,,C6H14N2O1,130.1106131,1
N-Acetylserine,N-Acetylserine,N-Acetylserine,HMDB0002931,65249,45441,,308,CC(=O)N[C@@H](CO)C(=O)O,5.93,10.51,10.12393931,,8.39,8.67,,,C5H9N1O4,147.0531578,2
N-Acetylserotonin,N-Acetylserotonin,N-Acetylserotonin,HMDB0001238,903,17697,C00978,366,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,,4.01,3.86270187,,2.86,,,,C12H14N2O2,218.1055277,7
N-Acetyltyrosine,N-Acetyltyrosine,N-Acetyl-L-tyrosine,HMDB0000866,68310,201465,C01657,,CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,4.06,7.04,6.781401786,2.87,6.79,,14.21,,C11H13N1O4,223.0844579,6
N-carbamoyl-L-aspartate,N-carbamoyl-L-aspartate,Ureidosuccinic acid,HMDB0000828,93072,15859,C00438,5791,C([C@@H](C(=O)O)NC(=O)N)C(=O)O,6.35,13.26,12.77292439,,12.51,11.87,14.54,,C5H8N2O5,176.0433214,3
N-Methyl-a-aminoisobutyric acid,N-Methyl-a-aminoisobutyric acid,N-Methyl-a-aminoisobutyric acid,HMDB0002141,6951124,134261,,6508,CC(C)(C(=O)[O-])[NH2+]C,7.51,13.57,13.07153725,,,,,,C5H11N1O2,117.0789786,1
N-Methyl-D-aspartic acid,N-Methyl-D-aspartic acid,N-Methyl-D-aspartic acid,HMDB0002393,22880,31882,C12269,6662,CN[C@H](CC(=O)O)C(=O)O,6.33,12.87,12.39725014,8.31,11.27,8.03,6.38,,C5H9N1O4,147.0531578,2
N-Octanoylglycine,N-Octanoylglycine,Capryloylglycine,HMDB0000832,84290,74099,,5795,CCCCCCCC(=O)NCC(=O)O,2.1,2.81,2.706781111,,2.87,16,18.63,,C10H19N1O3,201.1364935,2
NAD,NAD,NAD,HMDB0000902,5893,15846,C00003,5858,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,,13.68,13.17749665,10.01,,9.27,,,C21H27N7O14P2,663.1091216,13
