accession,iupac_name,name,SMILES,status,formula,mass,rdbe,category
YMDB00165,NA,Phosphoribosyl-ATP,NC1=[N+](C=NC2=C1N=CN2C1OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C1O)C1OC(COP(O)(O)=O)C(O)C1O,quantified,C15H25N5O20P4,719.0043342,8,Metabolite
YMDB00166,NA,(3S)-3-hydroxy-L-aspartic acid,N[C@@H]([C@H](O)C(O)=O)C(O)=O,quantified,C4H7N1O5,149.0324223,2,Metabolite
YMDB00169,NA,3-(indol-3-yl)pyruvic acid,OC(=O)C(=O)CC1=CNC2=CC=CC=C12,quantified,C11H9N1O3,203.0582432,8,Metabolite
YMDB00170,NA,Pyruvaldehyde,CC(=O)C=O,quantified,C3H4O2,72.02112937,2,Metabolite
YMDB00171,NA,5-Amino-6-ribitylamino uracil,NC1=C(NCC(O)C(O)C(O)CO)NC(=O)NC1=O,quantified,C9H16N4O6,276.1069843,4,Metabolite
YMDB00172,NA,S-(Hydroxymethyl)glutathione,N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(O)=O)C(O)=O,quantified,C11H19N3O7S1,337.0943707,4,Metabolite
YMDB00174,NA,"2-Hexaprenyl-6-methoxy-1,4-benzoquinone",COC1=CC(=O)C=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C1=O,quantified,C37H54O3,546.4072956,11,Metabolite
YMDB00175,NA,Pyruvic acid,CC(=O)C(O)=O,quantified,C3H4O3,88.01604399,2,Metabolite
YMDB00177,NA,(S)-2-Acetolactate,CC(=O)[C@](C)(O)C(O)=O,quantified,C5H8O4,132.0422587,2,Metabolite
YMDB00178,NA,5'-Methylthioadenosine,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,quantified,C11H15N5O3S1,297.0895601,7,Metabolite
YMDB00179,NA,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate",[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C1=CNC2=C1C=CC=C2,quantified,C11H14N1O6P1,287.0558737,6,Metabolite
YMDB00180,NA,Obtusifoliol,CC(CCC=C(C)C)C1CCC2(CO)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,quantified,C30H50O2,442.3810808,6,Metabolite
YMDB00181,NA,Mevalonic acid-5P,C[C@@](O)(CCOP(O)(O)=O)CC(O)=O,quantified,C6H13O7P1,228.0398892,1,Metabolite
YMDB00182,NA,3-beta-Hydroxy-4-beta-methyl-5-alpha-cholest-7-ene-4-alpha-carboxylate,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC[C@]2([H])[C@]1(C)CC[C@H](O)[C@@]2(C)C(O)=O,quantified,C29H48O3,444.3603454,6,Metabolite
YMDB00183,NA,3-Dehydrosphinganine,CCCCCCCCCCCCCCCC(=O)[C@@H](N)CO,quantified,C18H37N1O2,299.2824294,1,Metabolite
YMDB00184,NA,"di-trans,poly-cis-Decaprenyl diphosphate",CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/COP(O)(=O)OP(O)(O)=O,quantified,C50H84O7P2,858.569228,10,Metabolite
YMDB00185,NA,"1,2-Dihydroxy-3-keto-5-methylthiopentene",CSCCC(=O)C(\O)=C\O,quantified,C6H10O3S1,162.0350649,2,Metabolite
YMDB00186,NA,4-alpha-Methyl-5-alpha-cholest-7-en-3-one,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@H](C)C(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,quantified,C28H46O1,398.3548661,6,Metabolite
YMDB00187,NA,1-palmitoylglycerone 3-phosphate,CCCCCCCCCCCCCCCC(=O)OCC(=O)COP(O)(O)=O,quantified,C19H37O7P1,408.22769,2,Metabolite
YMDB00188,NA,L-Carnitine,[H][C@](O)(CC([O-])=O)C[N+](C)(C)C,quantified,C7H15N1O3,161.1051933,1,Metabolite
YMDB00189,NA,"Beta-1,4-D-Mannosylchitobiosyldiphosphodolichol",OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](NC(=O)C)[C@@H](O[C@@H]2CO)O[C@H]2[C@H](O)[C@@H](NC(=O)C)[C@H](O[C@@H]2CO)OP(=O)(O)OP(=O)(O)OCCC(C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)[C@@H](O)[C@@H](O)[C@@H]1O,quantified,C47H82N2O22P2,1088.483445,9,Metabolite
YMDB00191,NA,Phosphorylcholine,C[N+](C)(C)CCOP(O)(O)=O,quantified,C5H14N1O4P1,183.0660444,0,Metabolite
YMDB00193,NA,Nicotinic acid mononucleotide,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)([O-])=O)[N+]1=CC=CC(C1)C(O)=O,quantified,C11H16N1O9P1,337.0562676,5,Metabolite
YMDB00196,NA,D-Sedoheptulose 7-phosphate,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O,quantified,C7H15O10P1,290.0402832,1,Metabolite
YMDB00198,NA,S-Adenosylhomocysteine,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O,quantified,C14H20N6O5S1,384.1215885,8,Metabolite
YMDB00201,NA,Deoxyuridine triphosphate,O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,quantified,C9H15N2O14P3,467.9736127,5,Metabolite
YMDB00203,NA,(R)-Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,quantified,C9H17N1O5,219.1106727,2,Metabolite
YMDB00205,NA,dTDP,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,quantified,C10H16N2O11P2,402.0229323,5,Metabolite
YMDB00206,NA,dCMP,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,quantified,C9H14N3O7P1,307.0569363,5,Metabolite
YMDB00209,NA,4-acetamidobutanal,CC(=O)NCCCC=O,quantified,C6H11N1O2,129.0789786,2,Metabolite
YMDB00210,NA,Oxalosuccinic acid,OC(=O)CC(C(O)=O)C(=O)C(O)=O,quantified,C6H6O7,190.0113525,4,Metabolite
YMDB00211,NA,8-Oxo-dGTP,NC1=NC(=O)C2=C(N1)N(C1C[C@H](O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1)C(=O)N2,quantified,C10H16N5O14P3,522.9906597,7,Metabolite
YMDB00212,NA,Uridine diphosphate glucose,OC[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O,quantified,C15H24N2O17P2,566.0550203,6,Metabolite
YMDB00213,NA,Allantoin,NC(=O)NC1NC(=O)NC1=O,quantified,C4H6N4O3,158.0439901,4,Metabolite
YMDB00215,NA,(2E)-Dodecenoyl-CoA,CCCCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12,quantified,C33H56N7O17P3S1,947.2666236,11,Metabolite
YMDB00216,NA,Shikimic acid,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O,quantified,C7H10O5,174.0528234,3,Metabolite
YMDB00218,NA,6-Phosphogluconic acid,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,quantified,C6H13O10P1,276.0246331,1,Metabolite
YMDB00219,NA,Pyrophosphate,OP(O)(=O)OP(O)(O)=O,quantified,H4O7P2,177.9432254,0,Adduct
YMDB00220,NA,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,quantified,C12H16N4O1S1,264.1044819,7,Metabolite
YMDB00221,NA,dUMP,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,quantified,C9H13N2O8P1,308.0409519,5,Metabolite
YMDB00222,NA,"di-trans,poly-cis-undecaprenyl diphosphate",CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/CC\C(C)=C/COP(O)(=O)OP(O)(O)=O,quantified,C55H92O7P2,926.6318283,11,Metabolite
YMDB00223,NA,D-Erythrose 4-phosphate,O[C@H](COP(O)(O)=O)[C@@H](O)C=O,quantified,C4H9O7P1,200.0085891,1,Metabolite
YMDB00224,NA,Nicotinic acid,OC(=O)C1=CN=CC=C1,quantified,C6H5N1O2,123.0320284,5,Metabolite
YMDB00225,NA,"P1,P4-Bis(5'-adenosyl) tetraphosphate",NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@@H](O)[C@H]3O)C2=NC=N1,quantified,C20H28N10O19P4,836.0482647,14,Metabolite
YMDB00226,NA,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,quantified,C4H8N2O3,132.0534921,2,Metabolite
YMDB00227,NA,Choline,C[N+](C)(C)CCO,quantified,C5H13N1O1,103.099714,0,Metabolite
YMDB00229,NA,Farnesyl pyrophosphate,CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O,quantified,C15H28O7P2,382.1310262,3,Metabolite
YMDB00231,NA,Spermine,NCCCNCCCCNCCCN,quantified,C10H26N4,202.2157469,0,Metabolite
YMDB00232,NA,Spermidine,NCCCCNCCCN,quantified,C7H19N3,145.1578976,0,Metabolite
YMDB00233,NA,L-Glutamic acid 5-phosphate,N[C@@H](CCC(=O)OP(O)(O)=O)C(O)=O,quantified,C5H10N1O7P1,227.0194882,2,Metabolite
YMDB00234,NA,N'-Formylkynurenine,NC(CC(=O)C1=CC=CC=C1NC=O)C(O)=O,quantified,C11H12N2O4,236.0797069,7,Metabolite
YMDB00235,NA,Oxalacetic acid,OC(=O)CC(=O)C(O)=O,quantified,C4H4O5,132.0058732,3,Metabolite
YMDB00238,NA,5-Methyltetrahydrofolic acid,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2,quantified,C20H25N7O6,459.1866316,12,Metabolite
YMDB00239,NA,lipoyl-AMP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OC(=O)CCCCC2CCSS2)[C@@H](O)[C@H]1O,quantified,C18H26N5O8P1S2,535.0960408,9,Metabolite
YMDB00241,NA,Dolichyl b-D-glucosyl phosphate,[H][C@]1(CO)O[C@@]([H])(OP(O)(=O)OCCC(C)CCC=C(C)CCC=C(C)C)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,quantified,C21H39O9P1,466.2331693,3,Metabolite
YMDB00243,NA,1-Pyrroline-5-carboxylic acid,OC(=O)C1CCC=N1,quantified,C5H7N1O2,113.0476785,3,Metabolite
YMDB00245,NA,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,quantified,C7H14N2O4S1,222.0674277,2,Metabolite
YMDB00246,NA,S-Lactoylglutathione,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,quantified,C13H21N3O8S1,379.1049354,5,Metabolite
YMDB00248,NA,4-Nitrophenyl phosphate,OP(O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O,quantified,C6H6N1O6P1,218.9932734,5,Metabolite
YMDB00249,NA,Sirohydrochlorin,C[C@]1(CC(O)=O)[C@H](CCC(O)=O)\C2=C\C3=N\C(=C/C4=C(CCC(O)=O)C(CC(O)=O)=C(N4)\C=C4/N=C(/C=C1\N2)[C@@H](CCC(O)=O)[C@]4(C)CC(O)=O)\C(CCC(O)=O)=C3CC(O)=O,quantified,C42H46N4O16,862.2908814,22,Metabolite
YMDB00250,NA,S-adenosyl-4-methylthio-2-oxobutanoic acid,C[S+](CCC(=O)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,quantified,C15H19N5O6S1,397.1056041,9,Metabolite
YMDB00252,NA,Gamma-Glutamylcysteine,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O,quantified,C8H14N2O5S1,250.0623423,3,Metabolite
YMDB00254,NA,3-Hydroxyanthranilic acid,NC1=C(O)C=CC=C1C(O)=O,quantified,C7H7N1O3,153.0425931,5,Metabolite
YMDB00255,NA,N-Acetyl-L-glutamate 5-semialdehyde,CC(=O)N[C@@H](CCC=O)C(O)=O,quantified,C7H11N1O4,173.0688078,3,Metabolite
YMDB00256,NA,Adenosine phosphosulfate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O,quantified,C10H14N5O10P1S1,427.0198989,7,Metabolite
YMDB00257,NA,Guanosine diphosphate,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,quantified,C10H15N5O11P2,443.0243293,7,Metabolite
YMDB00258,NA,O-Phosphohomoserine,N[C@@H](CCOP(O)(O)=O)C(O)=O,quantified,C4H10N1O6P1,199.0245735,1,Metabolite
YMDB00259,NA,LPA(16:0/0:0),[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP(O)(O)=O,quantified,C19H39O7P1,410.2433401,1,Metabolite
YMDB00260,NA,"5,10-Methylene-THF",[H][C@@]12CN(CN1C1=C(NC2)N=C(N)NC1=O)C1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O,quantified,C20H23N7O6,457.1709815,13,Metabolite
YMDB00262,NA,Lanosterin,[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,quantified,C30H50O1,426.3861662,6,Metabolite
YMDB00263,NA,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,quantified,C5H4N4O2,152.0334254,6,Metabolite
YMDB00264,NA,leukotriene A4,CCCCC\C=C/C\C=C/C=C/C=C/[C@@H]1O[C@H]1CCCC(O)=O,quantified,C20H30O3,318.2194948,6,Metabolite
YMDB00265,NA,2-Amino-3-carboxymuconic acid semialdehyde,NC(C(O)=O)=C(C=CC=O)C(O)=O,quantified,C7H7N1O5,185.0324223,5,Metabolite
YMDB00266,NA,Geranyl-PP,CC(C)=CCC\C(C)=C\CO[P@@](=O)(O)OP(=O)(O)O,quantified,C10H20O7P2,314.068426,2,Metabolite
YMDB00267,NA,Uroporphyrinogen III,OC(=O)CCC1=C2CC3=C(CCC(O)=O)C(CC(O)=O)=C(CC4=C(CC(O)=O)C(CCC(O)=O)=C(CC5=C(CC(O)=O)C(CCC(O)=O)=C(CC(N2)=C1CC(O)=O)N5)N4)N3,quantified,C40H44N4O16,836.2752314,21,Metabolite
YMDB00270,NA,"Glyceric acid 1,3-biphosphate",OC(COP(O)(O)=O)C(=O)OP(O)(O)=O,quantified,C3H8O10P2,265.9592694,1,Metabolite
YMDB00271,NA,L-Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,quantified,C5H9N1O4,147.0531578,2,Metabolite
YMDB00272,NA,D-4'-Phosphopantothenate,CC(C)(COP(O)(O)=O)C(O)C(=O)NCCC(O)=O,quantified,C9H18N1O8P1,299.077003,2,Metabolite
YMDB00274,NA,Niacinamide,NC(=O)C1=CC=CN=C1,quantified,C6H6N2O1,122.0480128,5,Metabolite
YMDB00276,NA,Phosphoenolpyruvic acid,OC(=O)C(=C)OP(O)(O)=O,quantified,C3H5O6P1,167.9823744,2,Metabolite
YMDB00277,NA,Uridine diphosphate-N-acetylglucosamine,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,quantified,C17H27N3O17P2,607.0815694,7,Metabolite
YMDB00278,NA,2-Aminobenzoic acid,NC1=CC=CC=C1C(O)=O,quantified,C7H7N1O2,137.0476785,5,Metabolite
YMDB00279,NA,Cytidine triphosphate,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C9H16N3O14P3,482.9845117,5,Metabolite
YMDB00280,NA,(S)-Malic acid,O[C@@H](CC(O)=O)C(O)=O,quantified,C4H6O5,134.0215233,2,Metabolite
YMDB00281,NA,Phosphoribosyl formamidocarboxamide,NC(=O)C1=C(NC=O)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C10H15N4O9P1,366.0576646,6,Metabolite
YMDB00282,NA,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,quantified,C10H16N2O3S1,244.0881631,4,Metabolite
YMDB00283,NA,Glycerol,OCC(O)CO,quantified,C3H8O3,92.04734412,0,Metabolite
YMDB00285,NA,Phytosphingosine,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO,quantified,C18H39N1O3,317.2929941,0,Metabolite
YMDB00289,NA,Xanthylic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O,quantified,C10H13N4O9P1,364.0420145,7,Metabolite
YMDB00291,NA,"Inositol 1,4,5-trisphosphate",O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O,quantified,C6H15O15P3,419.9623792,1,Metabolite
YMDB00293,NA,"7,8-Dihydropteroic acid",NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(O)=O)CN2)C(=O)N1,quantified,C14H14N6O3,314.1127384,11,Metabolite
YMDB00294,NA,2-deoxy-D-glucose,[H]C([H])(C=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,quantified,C6H12O5,164.0684735,1,Metabolite
YMDB00296,NA,FAD,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,quantified,C27H33N9O15P2,785.1571344,17,Metabolite
YMDB00297,NA,S-Adenosylmethionine,[H][C@@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C2N=CN=C3N)[C@]([H])(O)[C@]1([H])O)C(O)=O,quantified,C15H22N6O5S1,398.1372386,8,Metabolite
YMDB00300,NA,5-Amino-6-(5'-phosphoribitylamino)uracil,NC1=C(NCC(O)C(O)C(O)COP(O)(O)=O)NC(=O)NC1=O,quantified,C9H17N4O9P1,356.0733147,4,Metabolite
YMDB00301,NA,Palmityl-CoA,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C37H66N7O17P3S1,1005.344874,10,Metabolite
YMDB00302,NA,2-(3-Carboxy-3-(methylammonio)propyl)-L-histidine,C[NH2+]C(CCC1=NC=C(C[C@H](N)C(O)=O)N1)C(O)=O,quantified,C11H18N4O4,270.1328051,5,Metabolite
YMDB00304,NA,L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,quantified,C9H11N1O2,165.0789786,5,Metabolite
YMDB00306,NA,deamido-NAD(+),NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,quantified,C21H26N6O15P2,664.0931372,13,Metabolite
YMDB00307,NA,Uridine 5'-diphosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,quantified,C9H14N2O12P2,404.0021969,5,Metabolite
YMDB00308,NA,Pantetheine 4'-phosphate,CC(C)(COP(O)(O)=O)C(O)C(=O)NCCC(=O)NCCS,quantified,C11H23N2O7P1S1,358.0963583,2,Metabolite
YMDB00309,NA,Glycerophosphocholine,C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO,quantified,C8H20N1O6P1,257.1028239,0,Metabolite
YMDB00312,NA,Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C23H38N7O17P3S1,809.125773,10,Metabolite
YMDB00313,NA,Cholesterol,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(O)CC[C@]12C,quantified,C27H46O1,386.3548661,5,Metabolite
YMDB00314,NA,4-amino-4-deoxychorismic acid,N[C@@H]1C=CC(=C[C@H]1OC(=C)C(O)=O)C(O)=O,quantified,C10H11N1O5,225.0637225,6,Metabolite
YMDB00315,NA,Acetamidopropanal,CC(=O)NCCC=O,quantified,C5H9N1O2,115.0633285,2,Metabolite
YMDB00316,NA,4-Nitrophenol,OC1=CC=C(C=C1)[N+]([O-])=O,quantified,C6H5N1O3,139.026943,5,Metabolite
YMDB00317,NA,Phosphoribosyl-AMP,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN([C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C2=N,quantified,C15H23N5O14P2,559.0716734,8,Metabolite
YMDB00318,NA,L-Methionine,CSCC[C@H](N)C(O)=O,quantified,C5H11N1O2S1,149.0510493,1,Metabolite
YMDB00319,NA,4-Methyl-5-(2-phosphonooxyethyl)thiazole,CC1=C(CCOP(O)(O)=O)SC=N1,quantified,C6H10N1O4P1S1,223.006815,3,Metabolite
YMDB00320,NA,S-Formylglutathione,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(O)=O)C(O)=O,quantified,C11H17N3O7S1,335.0787206,5,Metabolite
YMDB00321,NA,Formaldehyde,C=O,quantified,C1H2O1,30.01056468,1,Adduct
YMDB00326,NA,Uridine triphosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,quantified,C9H15N2O15P3,483.9685273,5,Metabolite
YMDB00327,NA,Sphinganine,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,quantified,C18H39N1O2,301.2980795,0,Metabolite
YMDB00329,NA,N8-Acetylspermidine,CC(=O)NCCCCNCCCN,quantified,C9H21N3O1,187.1684623,1,Metabolite
YMDB00332,NA,3-Phosphoshikimic acid,O[C@@H]1CC(=C[C@@H](OP(O)(O)=O)[C@H]1O)C(O)=O,quantified,C7H11O8P1,254.0191538,3,Metabolite
YMDB00333,NA,maleylacetic acid,OC(=O)CC(=O)\C=C/C(O)=O,quantified,C6H6O5,158.0215233,4,Metabolite
YMDB00334,NA,Lipoic acid,OC(=O)CCCC[C@@H]1CCSS1,quantified,C8H14O2S2,206.0435211,2,Metabolite
YMDB00335,NA,gamma-Aminobutyric acid,NCCCC(O)=O,quantified,C4H9N1O2,103.0633285,1,Metabolite
YMDB00336,NA,benzoin,OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,quantified,C14H12O2,212.0837296,9,Metabolite
YMDB00337,NA,(S)-3-Hydroxyisobutyric acid,C[C@@H](CO)C(O)=O,quantified,C4H8O3,104.0473441,1,Metabolite
YMDB00338,NA,Succinic acid,OC(=O)CCC(O)=O,quantified,C4H6O4,118.0266087,2,Metabolite
YMDB00339,NA,N1-Acetylspermine,CC(=O)NCCCNCCCCNCCCN,quantified,C12H28N4O1,244.2263116,1,Metabolite
YMDB00340,NA,trans-Aconitic acid,OC(=O)C\C(=C/C(O)=O)C(O)=O,quantified,C6H6O6,174.0164379,4,Metabolite
YMDB00341,NA,3-Phosphoglyceric acid,OC(COP(O)(O)=O)C(O)=O,quantified,C3H7O7P1,185.9929391,1,Metabolite
YMDB00342,NA,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol",COC1=CC(O)C(C)=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C1O,quantified,C38H60O3,564.4542458,9,Metabolite
YMDB00346,NA,Allysine,NC(CCCC=O)C(O)=O,quantified,C6H11N1O3,145.0738932,2,Metabolite
YMDB00347,NA,S-Methyl-L-methionine,C[S+](C)CC[C@H](N)C(O)=O,quantified,C6H13N1O2S1,163.0666994,1,Metabolite
YMDB00349,NA,"Adenosine 3',5'-diphosphate",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O,quantified,C10H15N5O10P2,427.0294147,7,Metabolite
YMDB00350,NA,SAICAR,NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](CC(O)=O)C(O)=O,quantified,C13H19N4O12P1,454.0737086,7,Metabolite
YMDB00351,NA,L-Acetylcarnitine,CC(=O)OC(CC([O-])=O)C[N+](C)(C)C,quantified,C9H17N1O4,203.115758,2,Metabolite
YMDB00352,NA,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,quantified,C10H13N4O8P1,348.0470999,7,Metabolite
YMDB00353,NA,Ornithine,NCCC[C@H](N)C(O)=O,quantified,C5H12N2O2,132.0898776,1,Metabolite
YMDB00354,NA,Indoleacetaldehyde,O=CCC1=CNC2=CC=CC=C12,quantified,C10H9N1O1,159.0684139,7,Metabolite
YMDB00355,NA,O-Phospho-4-hydroxy-L-threonine,N[C@@H]([C@H](O)COP(O)(O)=O)C(O)=O,quantified,C4H10N1O7P1,215.0194882,1,Metabolite
YMDB00356,NA,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl diphosphate(3-)",OC1=NC(=N)NC2=C1N=C(COP(O)(=O)OP(O)(O)=O)CN2,quantified,C7H11N5O8P2,355.0082853,6,Metabolite
YMDB00357,NA,Dephospho-CoA,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS,quantified,C21H35N7O13P2S1,687.148878,9,Metabolite
YMDB00359,NA,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate",CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O,quantified,C20H36O7P2,450.1936265,4,Metabolite
